                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2313,                0.80734,                 1.3385,                0.90455,                0.78313,                 0.8783,                 0.5687,                 1.2732,                0.65506,                 1.2761,               0.070003,               0.003333,               0.003333
                      1,                 1.2108,                0.79262,                 1.3263,                0.90122,                0.78928,                 0.8837,                0.60839,                 1.2025,                0.66319,                 1.2707,                0.03992,              0.0065839,              0.0065839
                      2,                 1.2658,                0.86443,                 1.3704,                0.91262,                0.77526,                0.87651,                0.58981,                 1.2308,                0.68251,                 1.2893,              0.0097552,              0.0097522,              0.0097522
                      3,                 1.2924,                0.89412,                  1.399,                0.91641,                0.78838,                0.88728,                0.60077,                 1.2105,                0.66579,                 1.2814,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.2638,                 0.8542,                 1.3769,                0.90866,                0.79728,                0.89317,                0.61008,                 1.1957,                0.66044,                 1.2647,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.2395,                0.82781,                 1.3622,                0.91243,                0.79203,                0.88364,                0.61079,                 1.1869,                0.65033,                   1.26,               0.009505,               0.009505,               0.009505
                      6,                 1.2227,                 0.8097,                  1.351,                0.91523,                0.80157,                0.89403,                0.61832,                 1.1746,                0.64421,                 1.2534,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.2061,                0.78739,                 1.3416,                0.91812,                0.81647,                0.90426,                0.63805,                 1.1557,                0.60778,                 1.2421,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.1927,                0.77394,                 1.3297,                0.92373,                0.81063,                0.90053,                0.63344,                 1.1613,                0.61872,                  1.249,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.1834,                 0.7617,                 1.3233,                0.91839,                0.82228,                0.90307,                 0.6345,                 1.1537,                0.60493,                 1.2437,                0.00901,                0.00901,                0.00901
                     10,                 1.1741,                0.75207,                 1.3211,                0.92052,                0.81861,                0.90168,                 0.6392,                 1.1544,                0.61211,                 1.2467,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.1614,                 0.7409,                 1.3112,                0.91612,                0.82272,                0.90548,                0.64439,                 1.1397,                0.59607,                  1.235,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.1566,                0.73308,                 1.3046,                0.91791,                0.82634,                0.90547,                0.64143,                 1.1454,                0.58648,                 1.2308,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.1462,                0.72623,                 1.3038,                0.92648,                0.82213,                0.90876,                0.64522,                 1.1426,                0.59515,                 1.2353,               0.008515,               0.008515,               0.008515
                     14,                 1.1423,                0.72003,                 1.2972,                0.92287,                0.82617,                0.91012,                0.64851,                 1.1352,                0.58129,                 1.2293,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.1378,                0.71772,                 1.2973,                0.91787,                0.82645,                0.90907,                0.64977,                 1.1295,                0.58011,                 1.2291,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.1318,                0.70955,                 1.2882,                0.92198,                0.81923,                0.90378,                0.64683,                 1.1272,                0.58127,                 1.2294,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.1284,                0.70461,                 1.2877,                0.91466,                0.83076,                 0.9067,                0.65176,                 1.1258,                0.57472,                 1.2224,                0.00802,                0.00802,                0.00802
                     18,                 1.1245,                 0.7007,                 1.2843,                0.92172,                0.82905,                0.90813,                0.65461,                 1.1257,                0.57459,                 1.2292,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.1156,                0.69691,                 1.2803,                0.92102,                0.82629,                0.90585,                 0.6534,                 1.1197,                 0.5734,                 1.2223,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.1151,                 0.6923,                   1.28,                0.91828,                0.82775,                0.90405,                0.65395,                 1.1252,                 0.5711,                 1.2234,              0.0076488,              0.0076488,              0.0076488
                     21,                 1.1039,                0.68034,                  1.274,                0.91775,                0.82846,                 0.9022,                0.65082,                 1.1289,                0.57716,                 1.2305,               0.007525,               0.007525,               0.007525
                     22,                 1.1078,                0.68426,                 1.2743,                0.91935,                0.82068,                0.90093,                0.65307,                 1.1206,                0.58123,                 1.2271,              0.0074013,              0.0074013,              0.0074013
